supersource,count2
http://purl.obolibrary.org/obo/CHEBI_35497,19
http://purl.obolibrary.org/obo/CHEBI_35498,35
http://purl.obolibrary.org/obo/CHEBI_35499,15
http://purl.obolibrary.org/obo/CHEBI_35522,43
http://purl.obolibrary.org/obo/CHEBI_35523,63
http://purl.obolibrary.org/obo/CHEBI_35524,43
http://purl.obolibrary.org/obo/CHEBI_35526,99
http://purl.obolibrary.org/obo/CHEBI_35530,46
http://purl.obolibrary.org/obo/CHEBI_35544,141
http://purl.obolibrary.org/obo/CHEBI_35554,397
http://purl.obolibrary.org/obo/CHEBI_35569,25
http://purl.obolibrary.org/obo/CHEBI_35608,15
http://purl.obolibrary.org/obo/CHEBI_35610,1589
http://purl.obolibrary.org/obo/CHEBI_35617,101
http://purl.obolibrary.org/obo/CHEBI_35620,132
http://purl.obolibrary.org/obo/CHEBI_35623,84
http://purl.obolibrary.org/obo/CHEBI_35625,12
http://purl.obolibrary.org/obo/CHEBI_35634,9
http://purl.obolibrary.org/obo/CHEBI_35640,28
http://purl.obolibrary.org/obo/CHEBI_35660,24
http://purl.obolibrary.org/obo/CHEBI_35664,9
http://purl.obolibrary.org/obo/CHEBI_35674,183
http://purl.obolibrary.org/obo/CHEBI_35678,15
http://purl.obolibrary.org/obo/CHEBI_35679,48
http://purl.obolibrary.org/obo/CHEBI_35684,11
http://purl.obolibrary.org/obo/CHEBI_35703,360
http://purl.obolibrary.org/obo/CHEBI_35705,65
http://purl.obolibrary.org/obo/CHEBI_35717,72
http://purl.obolibrary.org/obo/CHEBI_35718,626
http://purl.obolibrary.org/obo/CHEBI_35816,8
http://purl.obolibrary.org/obo/CHEBI_35818,6
http://purl.obolibrary.org/obo/CHEBI_35820,297
http://purl.obolibrary.org/obo/CHEBI_35821,24
http://purl.obolibrary.org/obo/CHEBI_35841,6
http://purl.obolibrary.org/obo/CHEBI_35842,186
http://purl.obolibrary.org/obo/CHEBI_35845,11
http://purl.obolibrary.org/obo/CHEBI_35846,10
http://purl.obolibrary.org/obo/CHEBI_35856,52
http://purl.obolibrary.org/obo/CHEBI_35941,59
http://purl.obolibrary.org/obo/CHEBI_35942,750
http://purl.obolibrary.org/obo/CHEBI_36043,671
http://purl.obolibrary.org/obo/CHEBI_36044,105
http://purl.obolibrary.org/obo/CHEBI_36047,307
http://purl.obolibrary.org/obo/CHEBI_36050,2
http://purl.obolibrary.org/obo/CHEBI_36051,2
http://purl.obolibrary.org/obo/CHEBI_36053,1
http://purl.obolibrary.org/obo/CHEBI_36063,10
http://purl.obolibrary.org/obo/CHEBI_36333,51
http://purl.obolibrary.org/obo/CHEBI_36335,40
http://purl.obolibrary.org/obo/CHEBI_36413,12
http://purl.obolibrary.org/obo/CHEBI_36710,1
http://purl.obolibrary.org/obo/CHEBI_37153,12
http://purl.obolibrary.org/obo/CHEBI_37334,47
http://purl.obolibrary.org/obo/CHEBI_37335,12
http://purl.obolibrary.org/obo/CHEBI_37336,9
http://purl.obolibrary.org/obo/CHEBI_37337,3
http://purl.obolibrary.org/obo/CHEBI_37338,24
http://purl.obolibrary.org/obo/CHEBI_37416,7
http://purl.obolibrary.org/obo/CHEBI_37527,44
http://purl.obolibrary.org/obo/CHEBI_37670,113
http://purl.obolibrary.org/obo/CHEBI_37699,304
http://purl.obolibrary.org/obo/CHEBI_37700,20
http://purl.obolibrary.org/obo/CHEBI_37733,69
http://purl.obolibrary.org/obo/CHEBI_37848,75
http://purl.obolibrary.org/obo/CHEBI_37886,68
http://purl.obolibrary.org/obo/CHEBI_37887,108
http://purl.obolibrary.org/obo/CHEBI_37890,43
http://purl.obolibrary.org/obo/CHEBI_37930,19
http://purl.obolibrary.org/obo/CHEBI_37955,75
http://purl.obolibrary.org/obo/CHEBI_37956,114
http://purl.obolibrary.org/obo/CHEBI_37957,126
http://purl.obolibrary.org/obo/CHEBI_37958,695
http://purl.obolibrary.org/obo/CHEBI_37961,9
http://purl.obolibrary.org/obo/CHEBI_37962,224
http://purl.obolibrary.org/obo/CHEBI_38060,1
http://purl.obolibrary.org/obo/CHEBI_38068,146
http://purl.obolibrary.org/obo/CHEBI_38070,72
http://purl.obolibrary.org/obo/CHEBI_38147,24
http://purl.obolibrary.org/obo/CHEBI_38155,2
http://purl.obolibrary.org/obo/CHEBI_38157,62
